oid,matched_via,report_title,db_author,report_author
10656,456 N.W.2d 772,Disciplinary Board v. Palda,Erickstad,Per Curiam
10655,456 N.W.2d 771,Disciplinary Board v. Britton,Erickstad,Per Curiam
10799,466 N.W.2d 101,State v. Wilson,Erickstad,"Meschke, Herbert"
10656,456 N.W.2d 772,Disciplinary Board v. Britton,Erickstad,Per Curiam
10797,465 N.W.2d 480,City of Bismarck v. Berger,(none),"Medd, Joel"
11165,487 N.W.2d 599,Disciplinary Board v. Jones,Erickstad,"Johnson, J."
10792,465 N.W.2d 155,Disciplinary Board v. Galloway,Erickstad,Per Curiam
10796,465 N.W.2d 175,Reimers Seed Co. v. Stedman et al.,(none),"Heen, Douglas"
10873,469 N.W.2d 801,Ebach v. Ralston et al,Gierke,"Levine, Beryl"
11118,484 N.W.2d 102,Disciplinary Board v. Kaiser,(none),Per Curiam
10799,466 N.W.2d 101,Disciplinary Board v. Britton,Erickstad,Per Curiam
11098,482 N.W.2d 842,Green v. Gustafson,Erickstad,"Levine, Beryl"
10931,472 N.W.2d 914,Disciplinary Board v. Johnson,Erickstad,Per Curiam
10924,472 N.W.2d 472,Disciplinary Board v. Bailey,Erickstad,Per Curiam
10934,473 N.W.2d 134,Petition to Relocate Judicial Chambers - South Central Judicial District,Erickstad,Per Curiam
10934,473 N.W.2d 134,Northwest Judicial District Vacancy,Erickstad,Per Curiam
18342,617 N.W.2d 131,State v. Lopez,(none),"Levine, Beryl"
11143,485 N.W.2d 345,Disciplinary Board v. Whitesides Larson,Erickstad,Per Curiam
11116,483 N.W.2d 780,Faulconbridge v. State Bar Board,Erickstad,Per Curiam
11098,482 N.W.2d 842,Judicial Conduct Commission v. Kerian,Erickstad,Per Curiam
11144,485 N.W.2d 774,Disciplinary Board v. Britton,Erickstad,Per Curiam
11120,484 N.W.2d 110,Disciplinary Board v. Britton,Erickstad,Per Curiam
11760,522 N.W.2d 745,District Judge Vacancy in the Southeast Judicial District,Erickstad,Per Curiam
11007,477 N.W.2d 818,Disciplinary Board v. Jenson,Erickstad,Per Curiam
20453,489 N.W.2d 594,"Brakke v. Kensrud, et al.    (cross ref. w/900440 & 930288)",(none),Per Curiam
20454,489 N.W.2d 887,State v. Deery,(none),Per Curiam
20446,488 N.W.2d 411,"Schmidt v. Ramsey County, et al.",(none),Per Curiam
11076,481 N.W.2d 225,Disciplinary Board v. Johnson,Erickstad,Per Curiam
11140,484 N.W.2d 860,Disciplinary Board v. Heustis,Erickstad,Per Curiam
